Date,sentiment_score_7d_avg,news_count,stock_price_7d_avg,Company,Year
2021-08-24,3.51693354867049,55.0,74185.71428571429,Samsung,2021
2021-08-25,3.4003436448649933,39.0,74400.0,Samsung,2021
2021-08-26,3.4799267323655156,33.0,74971.42857142857,Samsung,2021
2021-08-27,3.550468792376933,19.0,75471.42857142857,Samsung,2021
2021-08-28,3.528160181507514,9.0,75471.42857142857,Samsung,2021
2021-08-29,3.4900222617983183,11.0,75471.42857142857,Samsung,2021
2021-08-30,3.5681112159177446,14.0,75528.57142857143,Samsung,2021
2021-08-31,3.4953894083981853,40.0,75657.14285714286,Samsung,2021
2021-09-01,3.564327378258568,41.0,76042.85714285714,Samsung,2021
2021-09-02,3.625697360954329,37.0,76300.0,Samsung,2021
2021-09-03,3.556278291075746,13.0,76542.85714285714,Samsung,2021
2021-09-04,3.5061787135230453,6.0,76542.85714285714,Samsung,2021
2021-09-05,3.5486309476174887,18.0,76542.85714285714,Samsung,2021
2021-09-06,3.4335021506564556,50.0,76342.85714285714,Samsung,2021
2021-09-07,3.3961513007413866,25.0,76128.57142857143,Samsung,2021
2021-09-08,3.5622557804464767,21.0,76171.42857142857,Samsung,2021
2021-09-09,3.580452325962759,14.0,76171.42857142857,Samsung,2021
2021-09-10,3.63186605347459,15.0,76128.57142857143,Samsung,2021
2021-09-11,3.620664772970889,4.0,76128.57142857143,Samsung,2021
2021-09-12,3.62669635773455,8.0,76128.57142857143,Samsung,2021
2021-09-13,3.745007127266732,20.0,76128.57142857143,Samsung,2021
2021-09-14,3.796957771139631,26.0,76257.14285714286,Samsung,2021
2021-09-15,3.5772141364845855,35.0,76557.14285714286,Samsung,2021
2021-09-16,3.5320962452278164,31.0,76842.85714285714,Samsung,2021
2021-09-17,3.6939700018780353,22.0,77042.85714285714,Samsung,2021
2021-09-18,3.4980672212177106,9.0,77042.85714285714,Samsung,2021
2021-09-19,3.5630503896477386,7.0,77042.85714285714,Samsung,2021
2021-09-20,3.412362814151958,7.0,77042.85714285714,Samsung,2021
2021-09-21,3.4471753610372002,3.0,77042.85714285714,Samsung,2021
2021-09-22,3.342016039497891,17.0,77042.85714285714,Samsung,2021
2021-09-23,3.3531749653520713,28.0,77000.0,Samsung,2021
2021-09-24,3.168915569183128,20.0,76585.71428571429,Samsung,2021
2021-09-25,3.3826321984941417,7.0,76585.71428571429,Samsung,2021
2021-09-26,3.210611167737864,29.0,76585.71428571429,Samsung,2021
2021-09-27,3.244576193853341,41.0,76300.0,Samsung,2021
2021-09-28,3.110739389821281,40.0,75728.57142857143,Samsung,2021
2021-09-29,3.1726716245880633,65.0,74985.71428571429,Samsung,2021
2021-09-30,3.164011690097826,40.0,74128.57142857143,Samsung,2021
2021-10-01,3.1569738727554006,21.0,73257.14285714286,Samsung,2021
2021-10-02,3.1628767700967666,11.0,73257.14285714286,Samsung,2021
2021-10-03,3.158448359504149,7.0,73257.14285714286,Samsung,2021
2021-10-04,3.164671945419342,27.0,73257.14285714286,Samsung,2021
2021-10-05,3.3167292839118834,60.0,72571.42857142857,Samsung,2021
2021-10-06,3.5269623365389475,40.0,71842.85714285714,Samsung,2021
2021-10-07,3.360583795670444,22.0,71085.71428571429,Samsung,2021
2021-10-08,3.2639608482435207,125.0,70542.85714285714,Samsung,2021
2021-10-09,3.162098331722599,7.0,70542.85714285714,Samsung,2021
2021-10-10,3.088503906152648,9.0,70542.85714285714,Samsung,2021
2021-10-11,2.961760916423509,29.0,70542.85714285714,Samsung,2021
2021-10-12,2.862264118911156,93.0,70242.85714285714,Samsung,2021
2021-10-13,2.672690743803714,40.0,70085.71428571429,Samsung,2021
2021-10-14,2.7167562085425883,37.0,69942.85714285714,Samsung,2021
2021-10-15,2.7024338447339544,53.0,69771.42857142857,Samsung,2021
2021-10-16,2.9071525227848602,6.0,69771.42857142857,Samsung,2021
2021-10-17,3.067648248170081,9.0,69771.42857142857,Samsung,2021
2021-10-18,3.123653911771553,34.0,69942.85714285714,Samsung,2021
2021-10-19,3.0438959490686934,27.0,70171.42857142857,Samsung,2021
2021-10-20,3.008872943146045,45.0,70285.71428571429,Samsung,2021
2021-10-21,3.030857600146823,18.0,70428.57142857143,Samsung,2021
2021-10-22,3.086456365827297,14.0,70414.28571428571,Samsung,2021
2021-10-23,2.9655921893604362,9.0,70414.28571428571,Samsung,2021
2021-10-24,2.995487391996556,11.0,70414.28571428571,Samsung,2021
2021-10-25,3.151845925293149,30.0,70428.57142857143,Samsung,2021
2021-10-26,3.193778561887764,22.0,70357.14285714286,Samsung,2021
2021-10-27,3.2147975942082305,22.0,70314.28571428571,Samsung,2021
2021-10-28,3.1552921839130454,156.0,70471.42857142857,Samsung,2021
2021-10-29,3.1826635329967305,61.0,70500.0,Samsung,2021
2021-10-30,3.2415422401459857,10.0,70500.0,Samsung,2021
2021-10-31,3.2281807337026853,29.0,70500.0,Samsung,2021
2021-11-01,3.1852450792641185,49.0,70428.57142857143,Samsung,2021
2021-11-02,3.163745801823879,37.0,70442.85714285714,Samsung,2021
2021-11-03,3.182423542416951,27.0,70428.57142857143,Samsung,2021
2021-11-04,3.232504743179434,15.0,70528.57142857143,Samsung,2021
2021-11-05,3.2485087531514667,34.0,70571.42857142857,Samsung,2021
2021-11-06,3.183289779648537,12.0,70571.42857142857,Samsung,2021
2021-11-07,3.1951495685933873,10.0,70571.42857142857,Samsung,2021
2021-11-08,3.124349574594825,41.0,70342.85714285714,Samsung,2021
2021-11-09,3.1489577081141826,32.0,70371.42857142857,Samsung,2021
2021-11-10,3.18707990629708,17.0,70485.71428571429,Samsung,2021
2021-11-11,3.138365446065683,27.0,70642.85714285714,Samsung,2021
2021-11-12,3.180677902241727,18.0,70657.14285714286,Samsung,2021
2021-11-13,3.2426754253890713,3.0,70657.14285714286,Samsung,2021
2021-11-14,3.217742216434386,23.0,70657.14285714286,Samsung,2021
2021-11-15,3.1713901876113484,33.0,70614.28571428571,Samsung,2021
2021-11-16,3.132958242597044,30.0,70757.14285714286,Samsung,2021
2021-11-17,3.118325941243423,31.0,71471.42857142857,Samsung,2021
2021-11-18,3.1974297662987934,30.0,72142.85714285714,Samsung,2021
2021-11-19,3.201807848148618,23.0,72628.57142857143,Samsung,2021
2021-11-20,3.1737076526885204,3.0,72628.57142857143,Samsung,2021
2021-11-21,3.211679940654983,9.0,72628.57142857143,Samsung,2021
2021-11-22,3.3973879577584176,27.0,72971.42857142857,Samsung,2021
2021-11-23,3.478105284716587,45.0,73200.0,Samsung,2021
2021-11-24,3.5353353627797284,40.0,73500.0,Samsung,2021
2021-11-25,3.642307067743577,29.0,73514.28571428571,Samsung,2021
2021-11-26,3.641810433263726,15.0,73442.85714285714,Samsung,2021
2021-11-27,3.604811732537928,3.0,73442.85714285714,Samsung,2021
2021-11-28,3.5051549424594244,7.0,73442.85714285714,Samsung,2021
2021-11-29,3.3739735697858104,23.0,73514.28571428571,Samsung,2021
2021-11-30,3.358183351459662,25.0,73628.57142857143,Samsung,2021
2021-12-01,3.368631592286104,32.0,74000.0,Samsung,2021
2021-12-02,3.278653283703552,24.0,74728.57142857143,Samsung,2021
2021-12-03,3.245827538512768,23.0,75457.14285714286,Samsung,2021
2021-12-04,3.2485971454653755,9.0,75457.14285714286,Samsung,2021
2021-12-05,3.2771795629896907,16.0,75457.14285714286,Samsung,2021
2021-12-06,3.2953302253103542,38.0,76442.85714285714,Samsung,2021
2021-12-07,3.333623270412447,130.0,76800.0,Samsung,2021
2021-12-08,3.354880706279332,43.0,76942.85714285714,Samsung,2021
2021-12-09,3.422595566690545,84.0,77142.85714285714,Samsung,2021
2021-12-10,3.4790861185382256,30.0,77328.57142857143,Samsung,2021
2021-12-11,3.5515379713144384,10.0,77328.57142857143,Samsung,2021
2021-12-12,3.5729623977690204,12.0,77328.57142857143,Samsung,2021
2021-12-13,3.6546430270591133,42.0,77385.71428571429,Samsung,2021
2021-12-14,3.717123885022557,19.0,77471.42857142857,Samsung,2021
2021-12-15,3.786722295587945,26.0,77314.28571428571,Samsung,2021
2021-12-16,3.698978586849549,27.0,77485.71428571429,Samsung,2021
2021-12-17,3.6969595722016897,29.0,77857.14285714286,Samsung,2021
2021-12-18,3.7281747369727305,4.0,77857.14285714286,Samsung,2021
2021-12-19,3.7869096574755536,20.0,77857.14285714286,Samsung,2021
2021-12-20,3.7675728905721253,41.0,78271.42857142857,Samsung,2021
2021-12-21,3.726157748056359,81.0,78685.71428571429,Samsung,2021
2021-12-22,3.639363013848874,69.0,79028.57142857143,Samsung,2021
2021-12-23,3.7129995360821977,51.0,79357.14285714286,Samsung,2021
2021-12-24,3.7530222437599425,32.0,79600.0,Samsung,2021
2021-12-25,3.683949195528036,4.0,79600.0,Samsung,2021
2021-12-26,3.6137216210622545,25.0,79600.0,Samsung,2021
2021-12-27,3.6111178976080436,32.0,79628.57142857143,Samsung,2021
2021-12-28,3.5191005785325022,19.0,79666.66666666667,Samsung,2021
2021-12-29,3.521966957642105,24.0,79620.0,Samsung,2021
2021-12-30,3.487715684798034,41.0,79400.0,Samsung,2021
2021-12-31,3.349923879392205,20.0,79400.0,Samsung,2021
2022-01-01,3.566752358078753,12.0,,Samsung,2022
2022-01-02,3.624776054130602,26.0,,Samsung,2022
2022-01-03,3.700480612557626,44.0,77900.0,Samsung,2022
2022-01-04,3.795626524792753,28.0,77980.0,Samsung,2022
2022-01-05,3.8500313498814824,40.0,77983.33333333333,Samsung,2022
2022-01-06,3.7531947318514662,23.0,78114.28571428571,Samsung,2022
2022-01-07,3.7219110218849893,130.0,78157.14285714286,Samsung,2022
2022-01-08,3.7710947685205656,14.0,78157.14285714286,Samsung,2022
2022-01-09,3.707892690749092,13.0,78157.14285714286,Samsung,2022
2022-01-10,3.625753037571992,60.0,78042.85714285714,Samsung,2022
2022-01-11,3.5154726927595172,26.0,78028.57142857143,Samsung,2022
2022-01-12,3.527723240950126,28.0,78114.28571428571,Samsung,2022
2022-01-13,3.5618693807873467,25.0,77928.57142857143,Samsung,2022
2022-01-14,3.6051008783196385,24.0,77685.71428571429,Samsung,2022
2022-01-15,3.6189673719978868,6.0,77685.71428571429,Samsung,2022
2022-01-16,3.73048789511869,10.0,77685.71428571429,Samsung,2022
2022-01-17,3.8278852546569246,30.0,77342.85714285714,Samsung,2022
2022-01-18,3.816154008986178,28.0,76871.42857142857,Samsung,2022
2022-01-19,3.794354899627423,31.0,76471.42857142857,Samsung,2022
2022-01-20,3.7856447383464955,47.0,76000.0,Samsung,2022
2022-01-21,3.7471886217737778,19.0,75400.0,Samsung,2022
2022-01-22,3.6371391324804887,9.0,75400.0,Samsung,2022
2022-01-23,3.5417052078625075,13.0,75400.0,Samsung,2022
2022-01-24,3.5324170187463584,28.0,74585.71428571429,Samsung,2022
2022-01-25,3.5941784592934307,25.0,74157.14285714286,Samsung,2022
2022-01-26,3.609748703004699,37.0,73700.0,Samsung,2022
2022-01-27,3.563026364036848,149.0,73471.42857142857,Samsung,2022
2022-01-28,3.5839201067905924,60.0,73171.42857142857,Samsung,2022
2022-01-29,3.5925465960798233,14.0,73171.42857142857,Samsung,2022
2022-01-30,3.55905094601071,13.0,73171.42857142857,Samsung,2022
2022-01-31,3.4658835406608723,13.0,73171.42857142857,Samsung,2022
2022-02-01,3.2528078426134592,8.0,73171.42857142857,Samsung,2022
2022-02-02,3.115444178451921,20.0,73171.42857142857,Samsung,2022
2022-02-03,3.1198130304390643,33.0,73100.0,Samsung,2022
