Date,Close,Open,High,Low,Vol.
02/04/2021,137.39,136.3,137.4,134.59,84.18M
02/03/2021,133.94,135.76,135.77,133.61,89.88M
02/02/2021,134.99,135.73,136.31,134.61,83.31M
02/01/2021,134.14,133.75,135.38,130.93,106.24M
01/29/2021,131.96,135.83,136.74,130.21,177.52M
01/28/2021,137.09,139.52,141.99,136.7,142.62M
01/27/2021,142.06,143.43,144.3,140.41,140.84M
01/26/2021,143.16,143.6,144.3,141.37,98.39M
01/25/2021,142.92,143.07,145.09,136.54,157.61M
01/22/2021,139.07,136.28,139.85,135.02,114.46M
01/21/2021,136.87,133.8,139.67,133.59,120.53M
01/20/2021,132.03,128.66,132.49,128.55,104.32M
01/19/2021,127.83,127.78,128.71,126.94,90.76M
01/15/2021,127.14,128.78,130.22,127,111.60M
01/14/2021,128.91,130.8,131,128.76,90.22M
01/13/2021,130.89,128.76,131.45,128.49,88.64M
01/12/2021,128.8,128.5,129.69,126.86,91.95M
01/11/2021,128.98,129.19,130.17,128.5,100.62M
01/08/2021,132.05,132.43,132.63,130.23,105.16M
01/07/2021,130.92,128.36,131.63,127.86,109.58M
01/06/2021,126.6,127.72,131.05,126.38,155.09M
01/05/2021,131.01,128.89,131.74,128.43,97.66M
01/04/2021,129.41,133.52,133.61,126.76,143.30M
